,distance (m),,,
0.16056,0.29406,0.46819,0.48768,0.4883
0.16182,0.29113,0.46697,0.48034,0.48823
0.16308,0.29809,0.46292,0.48339,0.48339
0.16435,0.29644,0.45986,0.48029,0.47778
0.16561,0.29587,0.46,0.47535,0.47642
0.16688,0.28551,0.46377,0.48563,0.4818
0.16814,0.29443,0.46485,0.48117,0.48077
0.16941,0.2934,0.46352,0.4834,0.48373
0.17067,0.2944,0.45972,0.47912,0.4741
0.17193,0.29588,0.45623,0.47335,0.48156
0.1732,0.28847,0.45983,0.47569,0.47457
0.17446,0.29563,0.4616,0.476,0.47894
0.17573,0.29076,0.46544,0.47799,0.47523
0.17699,0.29382,0.45624,0.47721,0.47748
0.17826,0.28924,0.46412,0.47012,0.48039
0.17952,0.28975,0.45945,0.47508,0.48698
0.18078,0.29005,0.46045,0.4737,0.47803
0.18205,0.29395,0.46103,0.47951,0.47351
0.18331,0.28813,0.45654,0.46359,0.47337
0.18458,0.28602,0.45554,0.4766,0.47902
0.18584,0.28781,0.45529,0.47209,0.47906
0.1871,0.29332,0.45245,0.4732,0.47491
0.18837,0.29004,0.45495,0.4678,0.47139
0.18963,0.29252,0.44807,0.46875,0.47583
0.1909,0.29121,0.45858,0.46903,0.47224
0.19216,0.29294,0.4602,0.47614,0.47998
0.19343,0.29411,0.45156,0.48009,0.46559
0.19469,0.28636,0.44829,0.47807,0.46578
0.19595,0.28672,0.44756,0.46634,0.47806
0.19722,0.29322,0.44986,0.47047,0.47545
0.19848,0.28377,0.45212,0.47142,0.4722
0.19975,0.29645,0.45134,0.47166,0.47093
0.20101,0.2844,0.44908,0.46534,0.46627
0.20228,0.28572,0.44763,0.47236,0.47796
0.20354,0.28791,0.45731,0.47122,0.47407
0.2048,0.28583,0.4522,0.46765,0.4719
0.20607,0.28569,0.44259,0.46831,0.46432
0.20733,0.28326,0.44523,0.46924,0.45901
0.2086,0.28741,0.45167,0.47269,0.47646
0.20986,0.28304,0.44703,0.47088,0.47442
0.21113,0.29069,0.44728,0.47239,0.46774
0.21239,0.29314,0.44372,0.46716,0.46212
0.21365,0.28469,0.4451,0.46307,0.47217
0.21492,0.28939,0.44555,0.4683,0.47142
0.21618,0.28693,0.46112,0.46951,0.47393
0.21745,0.28715,0.44749,0.46177,0.46827
0.21871,0.28264,0.44333,0.46211,0.46756
0.21997,0.28556,0.45222,0.46584,0.45883
0.22124,0.2893,0.44836,0.46397,0.47261
0.2225,0.29029,0.45111,0.46709,0.4637
0.22377,0.28252,0.44145,0.466,0.46515
0.22503,0.28402,0.44042,0.46403,0.46514
0.2263,0.28714,0.44833,0.46266,0.46785
0.22756,0.28308,0.44773,0.45877,0.46673
0.22882,0.28542,0.44534,0.45843,0.45815
0.23009,0.27731,0.44146,0.46268,0.46202
0.23135,0.27478,0.43485,0.45789,0.45986
0.23262,0.2782,0.44628,0.46126,0.46117
0.23388,0.28779,0.45074,0.4562,0.4609
0.23515,0.2828,0.43971,0.45994,0.45777
0.23641,0.28143,0.44165,0.45763,0.4665
0.23767,0.27756,0.44426,0.46323,0.46279
0.23894,0.28174,0.44837,0.45809,0.46612
0.2402,0.27989,0.44832,0.45442,0.46317
0.24147,0.28251,0.44148,0.46492,0.45359
0.24273,0.27244,0.44134,0.45609,0.45837
0.24399,0.27509,0.44704,0.46332,0.45921
0.24526,0.28018,0.44725,0.45377,0.46216
0.24652,0.28253,0.44582,0.45148,0.45891
0.24779,0.27873,0.44193,0.45056,0.45667
0.24905,0.28153,0.43656,0.45017,0.45282
0.25032,0.27184,0.43805,0.45677,0.46869
0.25158,0.27824,0.44255,0.46154,0.4567
0.25284,0.27902,0.4449,0.44929,0.45137
0.25411,0.27942,0.43315,0.45565,0.45484
0.25537,0.27527,0.44068,0.4528,0.45653
0.25664,0.27935,0.44145,0.44496,0.45952
0.2579,0.28172,0.43808,0.45886,0.45655
0.25917,0.27487,0.44045,0.4519,0.45439
0.26043,0.27469,0.43007,0.44622,0.4531
0.26169,0.27382,0.43682,0.45593,0.46157
0.26296,0.2735,0.43833,0.45347,0.45588
0.26422,0.27533,0.43268,0.45408,0.45463
0.26549,0.28008,0.43182,0.45301,0.45437
0.26675,0.27497,0.43179,0.45139,0.45051
0.26802,0.27159,0.43366,0.44665,0.4548
0.26928,0.27766,0.43675,0.45063,0.4536
0.27054,0.28099,0.4371,0.4519,0.45034
0.27181,0.27658,0.4293,0.44184,0.44632
0.27307,0.2702,0.4315,0.45271,0.45406
0.27434,0.28073,0.42757,0.45112,0.45442
0.2756,0.27684,0.43502,0.45215,0.45358
0.27686,0.27203,0.43195,0.44817,0.44803
0.27813,0.26997,0.43223,0.44838,0.45077
0.27939,0.2741,0.43153,0.452,0.45306
0.28066,0.27361,0.43252,0.44719,0.44956
0.28192,0.28238,0.43434,0.45521,0.45096
0.28319,0.27494,0.42791,0.44684,0.44081
0.28445,0.27357,0.42532,0.44492,0.45747
0.28571,0.2713,0.425,0.44743,0.44948
0.28698,0.28265,0.43256,0.45231,0.45195
0.28824,0.27683,0.42509,0.45123,0.44681
0.28951,0.27894,0.42584,0.44342,0.44865
0.29077,0.27293,0.42867,0.45246,0.44767
0.29204,0.26795,0.42785,0.4504,0.45689
