,distance (m),,,
0.70544,0.20906,0.34016,0.34988,0.36085
0.7067,0.20755,0.34109,0.35085,0.35641
0.70796,0.21174,0.33351,0.3513,0.35875
0.70923,0.20962,0.33193,0.35067,0.3527
0.71049,0.2106,0.33623,0.34635,0.35053
0.71176,0.21009,0.33419,0.34749,0.35673
0.71302,0.22047,0.33651,0.35083,0.34926
0.71429,0.20589,0.33488,0.35067,0.34578
0.71555,0.21291,0.33195,0.34231,0.34718
0.71681,0.20691,0.33776,0.34862,0.35897
0.71808,0.20424,0.33138,0.34851,0.35834
0.71934,0.20824,0.33133,0.34785,0.34907
0.72061,0.21044,0.32901,0.34069,0.35015
0.72187,0.20637,0.32774,0.35162,0.34865
0.72314,0.20433,0.33292,0.3439,0.35421
0.7244,0.21456,0.33403,0.34185,0.34643
0.72566,0.21069,0.32914,0.34614,0.34675
0.72693,0.21543,0.33101,0.35243,0.3457
0.72819,0.2064,0.32624,0.34851,0.34847
0.72946,0.20713,0.32244,0.35037,0.35318
0.73072,0.20708,0.33018,0.34847,0.34616
0.73198,0.20199,0.32598,0.34257,0.35221
0.73325,0.21376,0.32356,0.34458,0.34998
0.73451,0.21204,0.32663,0.3462,0.34976
0.73578,0.20824,0.3324,0.34595,0.34572
0.73704,0.21324,0.33599,0.34025,0.35125
0.73831,0.20408,0.32901,0.34129,0.34281
0.73957,0.20607,0.33059,0.3343,0.34764
0.74083,0.21324,0.33079,0.33987,0.35557
0.7421,0.20462,0.33083,0.34565,0.3479
0.74336,0.20988,0.33448,0.34925,0.35014
0.74463,0.21005,0.33045,0.33915,0.34307
0.74589,0.21318,0.32781,0.3416,0.34418
0.74716,0.20704,0.32935,0.34297,0.35126
0.74842,0.20858,0.33308,0.33961,0.3409
0.74968,0.20684,0.33294,0.34304,0.34316
0.75095,0.20513,0.32616,0.33858,0.34252
0.75221,0.20607,0.33185,0.34753,0.34128
0.75348,0.21238,0.33455,0.34518,0.3475
0.75474,0.1991,0.33682,0.3379,0.34516
0.75601,0.20608,0.3308,0.34294,0.34174
0.75727,0.20675,0.3308,0.33719,0.34066
0.75853,0.20415,0.32682,0.34154,0.34403
0.7598,0.20407,0.33223,0.34146,0.34333
0.76106,0.21078,0.32553,0.33778,0.343
0.76233,0.21614,0.32234,0.33603,0.34038
0.76359,0.20132,0.3289,0.33655,0.33621
0.76485,0.2007,0.33163,0.34605,0.34129
0.76612,0.20389,0.32397,0.33516,0.3451
0.76738,0.19995,0.32423,0.33964,0.33713
0.76865,0.20561,0.32262,0.33898,0.33774
0.76991,0.20559,0.32411,0.334,0.34034
0.77118,0.20807,0.32615,0.33571,0.34282
0.77244,0.20556,0.32848,0.34391,0.3449
0.7737,0.19895,0.32394,0.33946,0.33745
0.77497,0.20591,0.32838,0.3347,0.34053
0.77623,0.20815,0.32189,0.33347,0.33439
0.7775,0.20514,0.31975,0.33781,0.34459
0.77876,0.2053,0.32104,0.33454,0.33991
0.78003,0.2059,0.32269,0.33564,0.33265
0.78129,0.20063,0.31761,0.33192,0.33999
0.78255,0.21626,0.32266,0.33777,0.34625
0.78382,0.20629,0.32204,0.33369,0.34442
0.78508,0.20378,0.32497,0.33383,0.3385
0.78635,0.20001,0.31656,0.33456,0.3397
0.78761,0.20171,0.31606,0.33837,0.34157
0.78887,0.20314,0.31728,0.336,0.33228
0.79014,0.2046,0.31743,0.33468,0.34191
0.7914,0.20794,0.31273,0.3338,0.33721
0.79267,0.20837,0.32024,0.33066,0.33361
0.79393,0.19934,0.31714,0.32912,0.33696
0.7952,0.20022,0.32318,0.33633,0.34388
0.79646,0.20483,0.31657,0.32728,0.33435
0.79772,0.2022,0.31347,0.33463,0.33142
0.79899,0.2038,0.31498,0.3342,0.33547
0.80025,0.19756,0.31735,0.33281,0.34162
0.80152,0.20097,0.31658,0.33841,0.34397
0.80278,0.19769,0.30699,0.32524,0.33738
0.80405,0.20069,0.30854,0.32686,0.33673
0.80531,0.2052,0.3223,0.3234,0.3407
0.80657,0.2069,0.31742,0.32934,0.33652
0.80784,0.20048,0.32105,0.32861,0.34515
0.8091,0.20981,0.31541,0.33268,0.3376
0.81037,0.20142,0.31109,0.32766,0.33745
0.81163,0.20166,0.31681,0.32976,0.34146
0.8129,0.19602,0.31868,0.33052,0.34112
0.81416,0.19879,0.31247,0.32926,0.33812
0.81542,0.1985,0.31449,0.32916,0.33139
0.81669,0.20397,0.30607,0.32273,0.33432
0.81795,0.20016,0.31643,0.32725,0.34224
0.81922,0.20106,0.3071,0.33396,0.33924
0.82048,0.19824,0.31683,0.33389,0.33187
0.82174,0.19732,0.31499,0.32815,0.33335
0.82301,0.20035,0.31299,0.32323,0.33288
0.82427,0.19876,0.3133,0.32688,0.33163
0.82554,0.19892,0.31521,0.3267,0.32982
0.8268,0.19881,0.31406,0.32406,0.32289
0.82807,0.19445,0.31244,0.32798,0.33094
0.82933,0.19262,0.31147,0.32653,0.33309
0.83059,0.19799,0.31472,0.33428,0.3316
0.83186,0.19702,0.31321,0.32418,0.3214
0.83312,0.19584,0.31369,0.32987,0.32415
0.83439,0.19406,0.30639,0.32292,0.32753
0.83565,0.19262,0.31175,0.32846,0.32741
0.83692,0.20159,0.30754,0.32528,0.33245
0.83818,0.19694,0.30991,0.33061,0.32733
0.83944,0.19184,0.30437,0.32322,0.32719
0.84071,0.19849,0.3076,0.32697,0.32765
0.84197,0.1915,0.31073,0.33062,0.32494
0.84324,0.19209,0.3157,0.32736,0.32842
0.8445,0.19582,0.30721,0.3227,0.32335
0.84576,0.18756,0.30371,0.31857,0.32133
0.84703,0.19265,0.31051,0.33111,0.32775
0.84829,0.188,0.31296,0.33036,0.32987
0.84956,0.19356,0.31079,0.32625,0.32614
0.85082,0.19161,0.30934,0.32421,0.32548
0.85209,0.19301,0.3043,0.31996,0.32439
0.85335,0.19542,0.30924,0.32198,0.32906
0.85461,0.18884,0.31256,0.32267,0.32606
0.85588,0.19179,0.3071,0.31817,0.32377
0.85714,0.19292,0.30564,0.32203,0.32285
0.85841,0.19529,0.31016,0.31992,0.3189
0.85967,0.19079,0.30486,0.32234,0.32467
0.86094,0.1927,0.30467,0.32506,0.32151
0.8622,0.19089,0.30575,0.31905,0.32575
0.86346,0.19118,0.30386,0.31803,0.31833
0.86473,0.19061,0.30623,0.31986,0.32893
0.86599,0.19685,0.30893,0.3246,0.32277
0.86726,0.18938,0.30933,0.32424,0.3239
0.86852,0.19447,0.30029,0.31593,0.31756
0.86979,0.19417,0.30478,0.31071,0.3287
0.87105,0.19463,0.3041,0.31754,0.31975
0.87231,0.18695,0.30646,0.31694,0.32475
0.87358,0.19076,0.30612,0.32158,0.32328
0.87484,0.19307,0.30337,0.3131,0.31744
0.87611,0.19108,0.30415,0.30989,0.32157
0.87737,0.1855,0.30593,0.31573,0.32463
0.87863,0.19959,0.30115,0.32148,0.3182
0.8799,0.19087,0.30391,0.31903,0.31825
0.88116,0.1863,0.29393,0.31805,0.32468
0.88243,0.19414,0.29916,0.31299,0.32298
0.88369,0.18951,0.29958,0.31921,0.32239
0.88496,0.19011,0.30192,0.32064,0.3198
0.88622,0.20086,0.29844,0.31669,0.32521
0.88748,0.19053,0.30141,0.32007,0.32045
0.88875,0.19118,0.30222,0.30886,0.32332
0.89001,0.19382,0.30331,0.31122,0.32253
0.89128,0.1945,0.29648,0.30953,0.3206
0.89254,0.18537,0.30277,0.31101,0.31857
0.89381,0.19768,0.30466,0.31826,0.31331
0.89507,0.19616,0.30575,0.31278,0.3228
0.89633,0.19347,0.3016,0.31923,0.31387
0.8976,0.18727,0.29688,0.31343,0.31467
0.89886,0.19248,0.29831,0.31274,0.31797
0.90013,0.19145,0.29936,0.3142,0.31499
0.90139,0.18304,0.29869,0.31641,0.32619
0.90265,0.18774,0.30412,0.30395,0.31545
0.90392,0.18662,0.29645,0.31649,0.31469
0.90518,0.19477,0.29525,0.31165,0.31715
0.90645,0.19014,0.29946,0.30651,0.32046
0.90771,0.19604,0.30328,0.30946,0.3201
0.90898,0.19387,0.3039,0.31396,0.32056
0.91024,0.1914,0.3013,0.31442,0.31567
0.9115,0.19036,0.29666,0.3087,0.31358
0.91277,0.18934,0.30015,0.3135,0.31922
0.91403,0.19028,0.30226,0.30826,0.32237
0.9153,0.18953,0.29181,0.30961,0.31777
0.91656,0.18936,0.30146,0.30522,0.31818
0.91783,0.18545,0.29655,0.30833,0.31692
0.91909,0.18972,0.3012,0.31022,0.32248
0.92035,0.18578,0.29739,0.3146,0.31597
0.92162,0.18268,0.29318,0.31239,0.31144
0.92288,0.18639,0.29845,0.30473,0.31459
0.92415,0.18671,0.29812,0.30747,0.31399
0.92541,0.19483,0.30233,0.31138,0.31771
0.92668,0.18042,0.29391,0.30714,0.307
0.92794,0.18199,0.29494,0.30905,0.31286
0.9292,0.18451,0.30251,0.30186,0.32005
0.93047,0.18071,0.29472,0.30542,0.31448
0.93173,0.18358,0.29789,0.31028,0.31848
0.933,0.1843,0.29729,0.31007,0.31234
0.93426,0.18818,0.2921,0.31463,0.31038
0.93552,0.17876,0.29797,0.31318,0.31874
0.93679,0.18217,0.29933,0.31833,0.31155
0.93805,0.18743,0.29906,0.30962,0.31195
0.93932,0.18173,0.29865,0.30871,0.30877
0.94058,0.1822,0.29369,0.30976,0.31331
0.94185,0.18101,0.29273,0.30532,0.31286
0.94311,0.18481,0.29915,0.3128,0.3155
0.94437,0.18479,0.28988,0.31443,0.31079
0.94564,0.18088,0.29432,0.30902,0.30874
0.9469,0.1798,0.28976,0.30905,0.31102
0.94817,0.17612,0.28833,0.30648,0.31512
0.94943,0.18313,0.29549,0.30691,0.30791
0.9507,0.18602,0.29806,0.30915,0.3112
0.95196,0.18943,0.28998,0.30443,0.30958
0.95322,0.18858,0.29231,0.31235,0.31076
0.95449,0.18178,0.29088,0.30846,0.30945
0.95575,0.18338,0.28898,0.30395,0.31248
0.95702,0.1831,0.28735,0.30171,0.31146
0.95828,0.1856,0.28669,0.30545,0.30079
0.95954,0.19015,0.29114,0.30584,0.30375
0.96081,0.18805,0.28814,0.30494,0.30107
0.96207,0.1846,0.29319,0.30377,0.30867
0.96334,0.18671,0.29201,0.29969,0.3074
0.9646,0.1884,0.28514,0.30571,0.30481
0.96587,0.17893,0.28847,0.29999,0.31357
0.96713,0.17845,0.28928,0.30512,0.30232
0.96839,0.17535,0.28612,0.30785,0.30289
0.96966,0.18551,0.28964,0.29829,0.30577
0.97092,0.18296,0.2834,0.30194,0.30155
0.97219,0.17997,0.28896,0.29669,0.30666
0.97345,0.18663,0.29005,0.3048,0.30821
0.97472,0.17207,0.28856,0.30305,0.29875
0.97598,0.17499,0.2862,0.29833,0.30137
0.97724,0.17869,0.29081,0.30115,0.31227
0.97851,0.18131,0.28901,0.2986,0.30356
0.97977,0.17961,0.28672,0.29853,0.30164
0.98104,0.18091,0.28025,0.29352,0.29991
0.9823,0.17943,0.28784,0.29862,0.29494
0.98357,0.17771,0.287,0.29619,0.30285
0.98483,0.16699,0.29064,0.29934,0.30567
0.98609,0.18241,0.28621,0.29528,0.30208
0.98736,0.18109,0.28353,0.29745,0.30133
0.98862,0.17918,0.28131,0.29931,0.3074
0.98989,0.17945,0.28147,0.30123,0.30073
0.99115,0.17697,0.28663,0.29719,0.29833
0.99241,0.17907,0.27965,0.29498,0.29859
0.99368,0.18045,0.28444,0.29887,0.29591
0.99494,0.1774,0.27911,0.29497,0.29591
0.99621,0.17722,0.28528,0.2907,0.305
0.99747,0.18545,0.28692,0.29406,0.30466
0.99874,0.17597,0.28217,0.292,0.29672
1,0.17206,0.28131,0.30071,0.29811
1.0013,0.17468,0.28503,0.29403,0.30521
1.0025,0.17969,0.28655,0.29319,0.30606
1.0038,0.17901,0.28079,0.30066,0.29238
1.0051,0.17412,0.28145,0.29876,0.30188
1.0063,0.17366,0.27912,0.29377,0.29521
1.0076,0.17758,0.28024,0.29456,0.29402
1.0088,0.18093,0.28008,0.29837,0.29871
1.0101,0.17548,0.27958,0.29311,0.29684
1.0114,0.17528,0.27842,0.2917,0.30435
1.0126,0.17328,0.27698,0.30012,0.29901
1.0139,0.17204,0.28581,0.29616,0.2981
1.0152,0.17969,0.28205,0.29698,0.29786
1.0164,0.17658,0.28397,0.29642,0.29734
1.0177,0.17589,0.28334,0.29393,0.3006
1.019,0.18222,0.28426,0.29537,0.30139
1.0202,0.1815,0.27704,0.2918,0.30285
1.0215,0.1783,0.2838,0.2958,0.29762
1.0228,0.17806,0.27474,0.29375,0.29152
1.024,0.17773,0.28141,0.29398,0.29543
1.0253,0.17718,0.2714,0.29008,0.30323
1.0265,0.188,0.27529,0.29141,0.29603
1.0278,0.17915,0.2818,0.28695,0.29408
1.0291,0.1752,0.27472,0.28875,0.29619
1.0303,0.17513,0.27747,0.29149,0.29931
1.0316,0.17267,0.2833,0.28925,0.29954
1.0329,0.18186,0.27527,0.29362,0.29911
1.0341,0.17792,0.27736,0.29291,0.29727
1.0354,0.17555,0.27435,0.28856,0.28961
1.0367,0.17353,0.28216,0.28829,0.30523
1.0379,0.17002,0.27452,0.29264,0.29723
1.0392,0.17414,0.27934,0.29282,0.29193
1.0405,0.17349,0.27211,0.29266,0.29356
1.0417,0.17211,0.265,0.29365,0.29906
1.043,0.17246,0.27303,0.28358,0.2982
1.0442,0.17299,0.27305,0.29275,0.28992
1.0455,0.17206,0.2812,0.28465,0.29172
1.0468,0.17439,0.27465,0.29028,0.29528
1.048,0.17477,0.27184,0.2858,0.29758
1.0493,0.1746,0.27546,0.29242,0.29415
1.0506,0.16829,0.27527,0.2917,0.2937
1.0518,0.17763,0.27709,0.2855,0.29418
1.0531,0.16708,0.27701,0.28836,0.29421
1.0544,0.1708,0.2761,0.28636,0.29961
1.0556,0.17141,0.27666,0.29129,0.29307
1.0569,0.17364,0.27172,0.29144,0.29243
1.0582,0.17609,0.28123,0.28496,0.28712
1.0594,0.17163,0.27164,0.28446,0.29817
1.0607,0.16918,0.27488,0.29421,0.29436
1.0619,0.17179,0.27932,0.29007,0.29056
1.0632,0.17094,0.27138,0.28508,0.29202
1.0645,0.16871,0.27568,0.28132,0.29262
1.0657,0.17234,0.27803,0.28615,0.29546
1.067,0.17106,0.26904,0.29002,0.29114
1.0683,0.16611,0.27116,0.27953,0.2885
1.0695,0.17423,0.2707,0.28594,0.29175
1.0708,0.17276,0.26472,0.28712,0.29374
1.0721,0.17403,0.27008,0.29184,0.29291
1.0733,0.17266,0.26929,0.28469,0.29064
1.0746,0.1712,0.27346,0.28727,0.28918
1.0759,0.16968,0.26911,0.2859,0.28773
1.0771,0.17536,0.27283,0.28479,0.28906
1.0784,0.17645,0.27127,0.28341,0.28541
1.0796,0.17383,0.27481,0.29415,0.28844
1.0809,0.17199,0.26734,0.2871,0.28999
1.0822,0.17248,0.27053,0.28033,0.29192
1.0834,0.17036,0.27194,0.28134,0.29031
1.0847,0.16951,0.27106,0.28536,0.28458
1.086,0.17384,0.27318,0.28917,0.28636
1.0872,0.17459,0.27061,0.28379,0.27975
1.0885,0.17336,0.26488,0.28292,0.28346
1.0898,0.16845,0.27325,0.28472,0.29091
1.091,0.1657,0.26317,0.29267,0.28652
1.0923,0.17197,0.26875,0.28598,0.28807
1.0936,0.17102,0.26361,0.2852,0.28698
1.0948,0.17088,0.2746,0.28746,0.2789
1.0961,0.16884,0.26651,0.29124,0.28932
1.0973,0.1705,0.26793,0.28412,0.28907
1.0986,0.16234,0.26914,0.28075,0.28163
1.0999,0.16754,0.26338,0.27648,0.28199
1.1011,0.16281,0.27324,0.27919,0.28603
1.1024,0.16388,0.2647,0.27788,0.28356
1.1037,0.16637,0.26538,0.28117,0.28303
1.1049,0.16782,0.26336,0.27853,0.27809
1.1062,0.16815,0.26227,0.27549,0.27771
1.1075,0.16961,0.26457,0.28149,0.28401
1.1087,0.16768,0.26663,0.27611,0.28481
1.11,0.1659,0.26632,0.27959,0.28136
1.1113,0.17283,0.26492,0.2745,0.28012
1.1125,0.17029,0.26857,0.27453,0.28244
1.1138,0.16626,0.26785,0.28112,0.28365
1.115,0.16063,0.27187,0.27936,0.28021
1.1163,0.17158,0.26589,0.27467,0.28183
1.1176,0.17403,0.26178,0.27453,0.27543
1.1188,0.1704,0.27164,0.27675,0.28138
1.1201,0.16411,0.26827,0.28092,0.28122
1.1214,0.15908,0.26942,0.27672,0.28002
1.1226,0.16433,0.26996,0.27447,0.28046
1.1239,0.16311,0.26077,0.28105,0.27717
1.1252,0.17112,0.26471,0.27369,0.28571
1.1264,0.16812,0.27095,0.27645,0.27918
1.1277,0.17957,0.27104,0.27991,0.28088
1.129,0.1624,0.27169,0.27962,0.27911
1.1302,0.16086,0.26614,0.26806,0.27939
1.1315,0.16538,0.26469,0.27006,0.27393
1.1327,0.16415,0.26554,0.27943,0.28306
1.134,0.16905,0.26661,0.27751,0.27951
1.1353,0.16415,0.2616,0.27652,0.27601
1.1365,0.16511,0.2638,0.27312,0.27867
1.1378,0.17125,0.26391,0.27445,0.27878
1.1391,0.15758,0.26341,0.27604,0.27515
1.1403,0.16813,0.26017,0.27337,0.27602
1.1416,0.16446,0.26557,0.2681,0.27991
1.1429,0.16605,0.26001,0.26761,0.2797
1.1441,0.15988,0.26129,0.27303,0.27986
1.1454,0.1706,0.26641,0.27178,0.27643
1.1466,0.16909,0.26256,0.27215,0.27793
1.1479,0.16799,0.26224,0.27396,0.28569
1.1492,0.16795,0.26273,0.26986,0.27599
1.1504,0.16823,0.26911,0.27629,0.28098
1.1517,0.16127,0.26876,0.27553,0.28185
1.153,0.16851,0.2564,0.26611,0.2765
1.1542,0.16243,0.25928,0.27352,0.28075
1.1555,0.16787,0.26108,0.27639,0.27916
1.1568,0.167,0.26649,0.27213,0.27807
1.158,0.16576,0.25689,0.27545,0.27726
1.1593,0.1619,0.2578,0.26832,0.27652
1.1606,0.1663,0.25844,0.27573,0.27884
1.1618,0.16633,0.2576,0.27339,0.27685
1.1631,0.15796,0.25419,0.27352,0.27474
1.1643,0.16046,0.25514,0.27369,0.27349
1.1656,0.1575,0.25761,0.2659,0.27662
1.1669,0.15675,0.25615,0.27183,0.28386
1.1681,0.1577,0.26046,0.27408,0.27676
1.1694,0.15856,0.25969,0.26361,0.27985
1.1707,0.15113,0.2539,0.26879,0.27559
1.1719,0.15602,0.25711,0.26798,0.27676
1.1732,0.15099,0.25504,0.26543,0.28015
1.1745,0.16007,0.25396,0.26811,0.26803
1.1757,0.16033,0.25866,0.27529,0.27367
1.177,0.15582,0.2514,0.2719,0.27892
1.1783,0.15786,0.25281,0.2686,0.27524
1.1795,0.16068,0.25462,0.27288,0.27601
1.1808,0.1631,0.25408,0.26869,0.27018
1.182,0.15998,0.25442,0.27242,0.2713
1.1833,0.15821,0.24478,0.27315,0.27352
1.1846,0.1507,0.2573,0.26782,0.26709
1.1858,0.15568,0.24678,0.2669,0.26821
1.1871,0.15647,0.25909,0.27376,0.27175
1.1884,0.15688,0.2586,0.26762,0.27192
1.1896,0.15389,0.25235,0.26819,0.27608
1.1909,0.15331,0.25763,0.27344,0.27384
1.1922,0.15305,0.24871,0.2708,0.27439
1.1934,0.15825,0.25184,0.27228,0.27156
1.1947,0.16447,0.24959,0.26819,0.26924
1.196,0.16316,0.24879,0.2712,0.2728
1.1972,0.1627,0.25537,0.27181,0.2665
1.1985,0.15526,0.24936,0.26656,0.26637
1.1997,0.15651,0.25251,0.26616,0.26916
1.201,0.15654,0.2488,0.2607,0.26565
1.2023,0.15429,0.25395,0.27021,0.27178
1.2035,0.16315,0.25066,0.26491,0.267
1.2048,0.15972,0.24956,0.2712,0.26675
1.2061,0.16052,0.25227,0.26561,0.26411
1.2073,0.16107,0.24942,0.26543,0.26923
1.2086,0.15984,0.24927,0.26601,0.26782
1.2099,0.1662,0.25238,0.27136,0.26809
1.2111,0.15936,0.25086,0.26425,0.26219
1.2124,0.17005,0.24759,0.26598,0.26919
1.2137,0.16157,0.25184,0.26092,0.26636
1.2149,0.16224,0.2518,0.26454,0.26407
1.2162,0.16434,0.25031,0.26864,0.2682
1.2174,0.16629,0.25403,0.26385,0.25541
1.2187,0.16415,0.24785,0.26271,0.26867
1.22,0.15714,0.25548,0.26255,0.26948
1.2212,0.16115,0.25462,0.26757,0.26782
1.2225,0.15885,0.25161,0.26327,0.26807
1.2238,0.15843,0.24384,0.25473,0.25942
1.225,0.15295,0.25319,0.26467,0.26304
1.2263,0.16358,0.2487,0.26141,0.26047
1.2276,0.16005,0.24953,0.25913,0.25972
1.2288,0.15601,0.25292,0.26038,0.26438
1.2301,0.15355,0.24401,0.2586,0.264
1.2314,0.15343,0.25576,0.25833,0.26367
1.2326,0.1534,0.2506,0.2574,0.26936
1.2339,0.15779,0.25076,0.26153,0.26075
1.2351,0.15093,0.24824,0.26016,0.26992
1.2364,0.15384,0.24684,0.25723,0.26504
1.2377,0.15798,0.24729,0.25445,0.26669
1.2389,0.1538,0.25117,0.25791,0.26513
1.2402,0.15626,0.24815,0.24644,0.26582
1.2415,0.15091,0.25172,0.25373,0.27154
1.2427,0.15826,0.24657,0.24904,0.26007
1.244,0.15514,0.24922,0.25576,0.26372
1.2453,0.15043,0.25138,0.25323,0.26547
1.2465,0.15682,0.25457,0.25504,0.26409
1.2478,0.15437,0.24986,0.25591,0.26066
1.2491,0.14812,0.25168,0.25522,0.26079
1.2503,0.15221,0.24416,0.25903,0.26404
1.2516,0.15237,0.2504,0.25272,0.26006
1.2528,0.1603,0.24636,0.25351,0.26714
1.2541,0.15067,0.24388,0.25119,0.26601
1.2554,0.15635,0.25288,0.25529,0.26766
1.2566,0.154,0.25095,0.26632,0.25292
1.2579,0.15305,0.24268,0.25779,0.26327
1.2592,0.15616,0.24558,0.25814,0.26363
1.2604,0.15214,0.24267,0.25156,0.26282
1.2617,0.15741,0.25254,0.25717,0.26514
1.263,0.15521,0.24487,0.25728,0.26063
1.2642,0.15077,0.2452,0.25228,0.26402
1.2655,0.16067,0.24395,0.253,0.25901
1.2668,0.15269,0.24851,0.25512,0.26032
1.268,0.15257,0.24336,0.2545,0.25832
1.2693,0.15062,0.24515,0.26359,0.26268
1.2705,0.15293,0.24199,0.26116,0.26315
1.2718,0.15391,0.23871,0.25653,0.26045
1.2731,0.15358,0.24774,0.25684,0.25515
1.2743,0.15329,0.24513,0.25719,0.26209
1.2756,0.15264,0.24877,0.26539,0.26024
1.2769,0.15999,0.24233,0.25478,0.25613
1.2781,0.14485,0.24231,0.25411,0.26251
1.2794,0.15434,0.24202,0.26046,0.25704
1.2807,0.15078,0.2421,0.25774,0.25948
1.2819,0.1582,0.23643,0.25742,0.25509
1.2832,0.15481,0.23533,0.25425,0.25829
1.2845,0.15008,0.23578,0.25919,0.25614
1.2857,0.15555,0.23914,0.25905,0.25642
1.287,0.15111,0.23984,0.26179,0.25828
1.2882,0.1596,0.23621,0.25537,0.25666
1.2895,0.15199,0.23309,0.25254,0.2573
1.2908,0.15119,0.23788,0.2553,0.25961
1.292,0.15084,0.23674,0.2597,0.25637
1.2933,0.15281,0.24494,0.25886,0.25595
1.2946,0.14317,0.23516,0.25804,0.2503
1.2958,0.14928,0.23899,0.25346,0.25675
1.2971,0.14342,0.2349,0.24817,0.25172
1.2984,0.15313,0.23689,0.25534,0.25833
1.2996,0.13913,0.24313,0.2511,0.25648
1.3009,0.15453,0.23957,0.25553,0.25189
1.3021,0.14989,0.23769,0.25239,0.2517
1.3034,0.14623,0.248,0.26052,0.25342
1.3047,0.14802,0.24416,0.24938,0.25587
1.3059,0.149,0.23785,0.24517,0.25139
1.3072,0.14794,0.23115,0.24288,0.25726
1.3085,0.14063,0.23892,0.25423,0.25531
1.3097,0.15152,0.2438,0.25208,0.26077
1.311,0.14921,0.24194,0.24852,0.24709
1.3123,0.15489,0.24008,0.25033,0.25139
1.3135,0.14307,0.23945,0.24418,0.24993
1.3148,0.1452,0.24007,0.24697,0.25663
1.3161,0.15116,0.23783,0.24838,0.25403
1.3173,0.14791,0.24066,0.24896,0.25034
1.3186,0.14398,0.24679,0.24136,0.25145
1.3198,0.14256,0.2352,0.24081,0.25576
1.3211,0.14491,0.23787,0.24368,0.25319
1.3224,0.14693,0.23704,0.24482,0.25777
1.3236,0.1462,0.24248,0.24737,0.24977
1.3249,0.14565,0.23423,0.24487,0.25237
1.3262,0.14898,0.24183,0.24041,0.25487
1.3274,0.15412,0.24386,0.24297,0.24756
1.3287,0.14398,0.23792,0.241,0.25142
1.33,0.15043,0.23239,0.23672,0.25454
1.3312,0.15063,0.24044,0.24017,0.25282
1.3325,0.14846,0.23386,0.24247,0.24947
1.3338,0.15156,0.23515,0.23724,0.25217
1.335,0.14215,0.23626,0.24787,0.25328
1.3363,0.14166,0.23658,0.24682,0.24738
1.3375,0.15191,0.23702,0.24555,0.25043
1.3388,0.15536,0.23653,0.24576,0.25191
1.3401,0.14599,0.23728,0.24382,0.24785
1.3413,0.14779,0.23946,0.24494,0.25021
1.3426,0.15056,0.23231,0.24044,0.25527
1.3439,0.14832,0.23647,0.24289,0.24661
1.3451,0.1468,0.23354,0.24646,0.2501
1.3464,0.15428,0.22949,0.24581,0.24299
1.3477,0.14844,0.2322,0.2476,0.24804
1.3489,0.13929,0.23581,0.24366,0.24535
1.3502,0.14352,0.23362,0.24209,0.24303
1.3515,0.143,0.23198,0.24659,0.24478
1.3527,0.14697,0.23364,0.24632,0.24502
1.354,0.14526,0.22741,0.24129,0.24847
1.3552,0.14752,0.23129,0.23966,0.24668
1.3565,0.14231,0.23033,0.24657,0.24467
1.3578,0.14768,0.23168,0.24448,0.24826
1.359,0.14981,0.22491,0.24788,0.24772
1.3603,0.14665,0.22745,0.24493,0.24872
1.3616,0.14276,0.23122,0.248,0.24757
1.3628,0.1439,0.237,0.24199,0.24844
1.3641,0.14393,0.23928,0.24226,0.24512
1.3654,0.14432,0.23257,0.23697,0.24825
1.3666,0.13435,0.22866,0.24003,0.24636
1.3679,0.13498,0.23082,0.24457,0.25107
1.3692,0.14177,0.23039,0.24379,0.24751
1.3704,0.14357,0.22751,0.24082,0.25278
1.3717,0.14332,0.22726,0.24468,0.24744
1.3729,0.14453,0.2301,0.24372,0.25357
1.3742,0.14188,0.23541,0.24138,0.24134
1.3755,0.14733,0.23556,0.24565,0.23975
1.3767,0.14763,0.23223,0.23945,0.24743
1.378,0.14314,0.22574,0.24265,0.25359
1.3793,0.14502,0.2286,0.24112,0.24537
1.3805,0.14004,0.23236,0.24099,0.24023
1.3818,0.13913,0.2311,0.23565,0.24765
1.3831,0.14444,0.2302,0.24517,0.24662
1.3843,0.14096,0.22813,0.24259,0.24235
1.3856,0.14186,0.22802,0.23626,0.2449
1.3869,0.15021,0.2285,0.24047,0.23888
1.3881,0.14123,0.22205,0.2421,0.24326
1.3894,0.14397,0.22307,0.24053,0.23853
1.3906,0.14177,0.22302,0.24148,0.24505
1.3919,0.13967,0.2241,0.24353,0.24667
1.3932,0.13652,0.22592,0.24858,0.24282
1.3944,0.14175,0.22563,0.23665,0.24809
1.3957,0.1407,0.22093,0.23674,0.24213
1.397,0.142,0.22844,0.235,0.24208
1.3982,0.14311,0.22659,0.24495,0.24204
1.3995,0.13786,0.22507,0.24195,0.24019
1.4008,0.14686,0.21994,0.23852,0.24109
1.402,0.14343,0.22724,0.24098,0.24156
1.4033,0.14217,0.22432,0.2335,0.24036
1.4046,0.14475,0.22801,0.24511,0.23294
1.4058,0.13107,0.22081,0.23886,0.239
1.4071,0.14642,0.22636,0.23887,0.23325
1.4083,0.14324,0.22224,0.23727,0.23919
1.4096,0.13972,0.22629,0.23922,0.23908
1.4109,0.15007,0.22919,0.24238,0.2392
1.4121,0.14794,0.21874,0.23878,0.23769
1.4134,0.14046,0.21393,0.24093,0.23948
1.4147,0.14146,0.23021,0.23188,0.24281
